time,status,count
10h 36,backend_reversed,2
10h 36,denied,30
10h 36,approved,365
10h 36,reversed,2
10h 37,approved,339
10h 37,reversed,3
10h 37,backend_reversed,2
10h 37,refunded,2
10h 37,denied,38
10h 38,refunded,1
10h 38,failed,1
10h 38,approved,351
10h 38,denied,41
10h 38,reversed,4
10h 39,approved,339
10h 39,denied,51
10h 39,reversed,1
10h 40,approved,375
10h 40,reversed,4
10h 40,backend_reversed,1
10h 40,denied,29
10h 41,reversed,1
10h 41,approved,352
10h 41,backend_reversed,1
10h 41,denied,34
10h 42,denied,37
10h 42,approved,343
10h 42,refunded,2
10h 42,reversed,3
10h 43,reversed,2
10h 43,approved,335
10h 43,denied,31
10h 44,backend_reversed,1
10h 44,approved,338
10h 44,denied,34
10h 44,reversed,3
10h 45,reversed,1
10h 45,approved,375
10h 45,refunded,1
10h 45,denied,35
10h 45,backend_reversed,1
10h 46,refunded,1
10h 46,denied,39
10h 46,reversed,4
10h 46,approved,398
10h 47,denied,35
10h 47,backend_reversed,2
10h 47,approved,345
10h 48,approved,364
10h 48,refunded,1
10h 48,backend_reversed,2
10h 48,denied,46
10h 49,backend_reversed,2
10h 49,denied,51
10h 49,refunded,1
10h 49,approved,385
10h 49,reversed,2
10h 50,denied,28
10h 50,approved,373
10h 50,backend_reversed,2
10h 50,reversed,1
10h 51,denied,46
10h 51,reversed,1
10h 51,approved,383
10h 52,approved,380
10h 52,backend_reversed,3
10h 52,reversed,1
10h 52,denied,34
10h 53,approved,365
10h 53,denied,48
10h 54,denied,34
